"","suburb","dwelling_type","bedrooms","month_year","rent"
"1","Acacia Ridge","Flat","1",2021-12-01,340
"2","Acacia Ridge","Flat","1",2022-03-01,320
"3","Acacia Ridge","Flat","1",2022-09-01,329
"4","Acacia Ridge","Flat","1",2022-12-01,329
"5","Acacia Ridge","Flat","1",2023-03-01,390
"6","Acacia Ridge","Flat","1",2023-06-01,380
"7","Acacia Ridge","Flat","1",2023-09-01,410
"8","Acacia Ridge","House","3",2017-09-01,350
"9","Acacia Ridge","House","3",2017-12-01,350
"10","Acacia Ridge","House","3",2018-03-01,340
"11","Acacia Ridge","House","3",2018-06-01,350
"12","Acacia Ridge","House","3",2018-09-01,360
"13","Acacia Ridge","House","3",2018-12-01,340
"14","Acacia Ridge","House","3",2019-03-01,360
"15","Acacia Ridge","House","3",2019-06-01,355
"16","Acacia Ridge","House","3",2019-09-01,360
"17","Acacia Ridge","House","3",2019-12-01,355
"18","Acacia Ridge","House","3",2020-03-01,355
"19","Acacia Ridge","House","3",2020-06-01,360
"20","Acacia Ridge","House","3",2020-09-01,360
"21","Acacia Ridge","House","3",2020-12-01,370
"22","Acacia Ridge","House","3",2021-03-01,380
"23","Acacia Ridge","House","3",2021-06-01,385
"24","Acacia Ridge","House","3",2021-09-01,375
"25","Acacia Ridge","House","3",2021-12-01,415
"26","Acacia Ridge","House","3",2022-03-01,420
"27","Acacia Ridge","House","3",2022-06-01,425
"28","Acacia Ridge","House","3",2022-09-01,460
"29","Acacia Ridge","House","3",2022-12-01,460
"30","Acacia Ridge","House","3",2023-03-01,460
"31","Acacia Ridge","House","3",2023-06-01,500
"32","Acacia Ridge","House","3",2023-09-01,500
"33","Acacia Ridge","House","4",2017-12-01,400
"34","Acacia Ridge","House","4",2018-03-01,410
"35","Acacia Ridge","House","4",2018-12-01,400
"36","Acacia Ridge","House","4",2019-03-01,415
"37","Acacia Ridge","House","4",2022-06-01,450
"38","Acacia Ridge","House","4",2022-12-01,550
"39","Acacia Ridge","Townhouse","3",2017-09-01,360
"40","Acacia Ridge","Townhouse","3",2017-12-01,360
"41","Acacia Ridge","Townhouse","3",2018-03-01,360
"42","Acacia Ridge","Townhouse","3",2018-06-01,360
"43","Acacia Ridge","Townhouse","3",2018-09-01,365
"44","Acacia Ridge","Townhouse","3",2018-12-01,360
"45","Acacia Ridge","Townhouse","3",2019-03-01,345
"46","Acacia Ridge","Townhouse","3",2019-06-01,370
"47","Acacia Ridge","Townhouse","3",2019-09-01,365
"48","Acacia Ridge","Townhouse","3",2019-12-01,370
"49","Acacia Ridge","Townhouse","3",2020-03-01,370
"50","Acacia Ridge","Townhouse","3",2020-06-01,370
"51","Acacia Ridge","Townhouse","3",2020-09-01,360
"52","Acacia Ridge","Townhouse","3",2021-03-01,360
"53","Acacia Ridge","Townhouse","3",2021-06-01,380
"54","Acacia Ridge","Townhouse","3",2021-09-01,370
"55","Acacia Ridge","Townhouse","3",2022-03-01,375
"56","Acacia Ridge","Townhouse","3",2022-06-01,390
"57","Acacia Ridge","Townhouse","3",2022-09-01,400
"58","Acacia Ridge","Townhouse","3",2023-03-01,430
"59","Acacia Ridge","All Dwellings","",2017-09-01,350
"60","Acacia Ridge","All Dwellings","",2017-12-01,350
